"","CONUS_SCLA","CONUS_EVH","CONUS_EVC","CONUS_EVT","LC16_BPS_2","VALUE","COUNT","CONUS_MZ_0","BPS_MODEL","BPS_NAME","EVT_NAME","EVT_LF","EVT_PHYS","COVER","HEIGHT","SCLASS","CHECK"
"1",132,32,32,7295,750,7101,613,1,"11560_1_2_7","North Pacific Lowland Riparian Forest and Shrubland","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren or Sparse",FALSE
"2",132,32,32,7295,726,7109,6046,1,"10390_1_2_3_7","North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Quarries-Strip Mines-Gravel Pits-Well and Wind Pads","Barren or Sparse",FALSE
